net_op_name,tech,mcc,mnc,psc_pci,rssi,rsrq,lat,long
Digi RO,LTE,226,10,256,-95.82,-13,45.7501,21.25
Digi RO,LTE,226,10,256,-95.12,-13,45.7502,21.2503
Digi RO,LTE,226,10,256,-95.12,-13,45.7503,21.2506
Digi RO,LTE,226,10,256,-95.82,-13,45.7504,21.2509
Digi RO,LTE,226,10,256,-95.82,-13,45.7505,21.2511
Digi RO,LTE,226,10,256,-95.82,-13,45.7506,21.2514
Digi RO,LTE,226,10,256,-94.0,-13,45.7506,21.2517
Digi RO,LTE,226,10,256,-94.11,-13,45.7507,21.2518
Digi RO,LTE,226,10,256,-94.81,-13,45.7508,21.2521
Digi RO,LTE,226,10,256,-98.02,-13,45.7509,21.2525
Digi RO,LTE,226,10,256,-97.12,-13,45.751,21.2527
Digi RO,LTE,226,10,256,-95.52,-13,45.7511,21.2528
Digi RO,LTE,226,10,256,-95.25,-13,45.7512,21.253
Digi RO,LTE,226,10,120,-99.64,-12,45.7513,21.253
Digi RO,LTE,226,10,120,-98.82,-12,45.7514,21.2532
Digi RO,LTE,226,10,120,-98.82,-12,45.7515,21.2533
Digi RO,LTE,226,10,120,-99.64,-12,45.7516,21.2534
Digi RO,LTE,226,10,120,-98.82,-12,45.7517,21.2536
Digi RO,LTE,226,10,120,-98.82,-12,45.7518,21.2537
Digi RO,LTE,226,10,120,-98.82,-12,45.7519,21.2539
Digi RO,LTE,226,10,120,-98.12,-12,45.752,21.254
Digi RO,LTE,226,10,120,-98.82,-12,45.7521,21.2541
Digi RO,LTE,226,10,120,-98.82,-12,45.7522,21.2542
Digi RO,LTE,226,10,120,-98.82,-12,45.7523,21.2543
Digi RO,LTE,226,10,120,-98.82,-12,45.7524,21.2545
Digi RO,LTE,226,10,120,-99.64,-12,45.7525,21.2546
Digi RO,LTE,226,10,120,-98.82,-12,45.7526,21.2547
Digi RO,LTE,226,10,120,-99.15,-12,45.7527,21.2548
Digi RO,LTE,226,10,120,-97.64,-12,45.7528,21.255
Digi RO,LTE,226,10,120,-102.0,-12,45.7529,21.255
Digi RO,LTE,226,10,120,-102.0,-12,45.753,21.255
Digi RO,LTE,226,10,120,-102.0,-12,45.7531,21.255
Digi RO,LTE,226,10,120,-102.0,-12,45.753,21.2548
Digi RO,LTE,226,10,120,-98.71,-12,45.7529,21.2546
Digi RO,LTE,226,10,84,-99.0,-15,45.7504,21.2507
Digi RO,LTE,226,10,84,-99.0,-15,45.7503,21.2504
Digi RO,LTE,226,10,120,-94.0,-15,45.7494,21.2478
Digi RO,LTE,226,10,120,-94.0,-15,45.7493,21.2476
Digi RO,LTE,226,10,157,-112.0,-17,45.7452,21.2351
Digi RO,LTE,226,10,158,-110.0,-15,45.7449,21.2331
Digi RO,LTE,226,10,207,-103.0,-10,45.7446,21.2309
Digi RO,LTE,226,10,207,-103.0,-10,45.7444,21.2291
Digi RO,LTE,226,10,208,-106.0,-11,45.7444,21.2289
Digi RO,LTE,226,10,208,-106.0,-11,45.7444,21.2287
Digi RO,LTE,226,10,208,-106.0,-11,45.7444,21.2285
Digi RO,LTE,226,10,208,-106.0,-11,45.7445,21.2275
Digi RO,LTE,226,10,208,-106.0,-11,45.7445,21.2273
Digi RO,LTE,226,10,208,-106.0,-11,45.745,21.2256
Digi RO,LTE,226,10,208,-91.56,-11,45.7451,21.2256
Digi RO,LTE,226,10,208,-91.84,-11,45.7452,21.2256
Digi RO,LTE,226,10,208,-91.49,-11,45.7453,21.2256
Digi RO,LTE,226,10,208,-93.88,-11,45.7454,21.2256
Digi RO,LTE,226,10,208,-95.5,-11,45.7455,21.2255
Digi RO,LTE,226,10,208,-96.72,-11,45.7456,21.2255
Digi RO,LTE,226,10,23,-79.06,-10,45.7444,21.2257
Digi RO,LTE,226,10,23,-91.0,-10,45.7444,21.2255
